Timestamp,YearOfStudy,EnglishFirstLanguage,Query,Respondent,Duplicate ID,Test,Topic,ChatMatch,TrueMatch,Reason
2023-10-10,3,True,where is the nicol building located,1,0.0,False,Campus,,,
2023-10-10,3,True,when does the caf open,1,1.0,False,Campus,,,
2023-10-10,3,True,where can i check my courses,2,,True,Multiple Topics,,-1.0,
2023-10-10,3,True,where is a good place to eat on campus,2,3.0,True,Campus,13.0,0.0,Specific 
2023-10-10,3,True,where can i park on campus,2,4.0,True,Transportation and Parking,28.0,1.0,
2023-10-10,3,True,when are exams taking place this year,2,5.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,3,True,when can i register for summer classes,2,6.0,True,Academic Calendar,55.0,0.0,Specific 
2023-10-10,2,True,how am i able to manage my time effectively while studying for tests exams,3,7.0,True,Academic Resources,44.0,0.0,Specific 
2023-10-10,2,True,when is the best time place to study for exams,3,7.0,True,Academic Resources,44.0,0.0,Specific 
2023-10-10,3,True,when is the deadline to enroll in summer 2024 classes,4,6.0,True,Academic Calendar,55.0,0.0,Specific 
2023-10-10,3,True,can you direct me to carleton university's exam schedule,5,5.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,3,True,how do i book a room at carleton university,5,,True,Campus,14.0,1.0,
2023-10-10,3,True,what type of career services are offered at carleton university,5,,True,Career,134.0,0.0,General
2023-10-10,3,False,when is reading week,6,132.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,3,False,when is reading week,6,132.0,False,Academic Calendar,,,
2023-10-10,3,False,can i extend a letter of permission,6,,True,Study Abroad and Exchanges,,-1.0,
2023-10-10,3,False,what time is the library open until,6,1.0,True,Campus,72.0,1.0,
2023-10-10,3,False,where is prof xyz's office,6,0.0,True,Campus,13.0,1.0,
2023-10-10,1,True,when will the otrain be functional at carleton,7,,True,Campus,229.0,0.0,Specific 
2023-10-10,2,True,what gpa do you need to get in a good coop internship job,8,,True,Multiple Topics,,-1.0,
2023-10-10,2,True,when is the next networking event for engineering students,9,,True,Career,171.0,0.0,Specific 
2023-10-10,1,False,what is the procedure for becoming a ta,10,21.0,True,Career,,-1.0,
2023-10-10,4,True,where can i find the dates and deadlines calendar,11,,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,4,True,when is the academic drop deadline,11,,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,4,True,how do i drop a course,11,,True,Academic Calendar,132.0,1.0,
2023-10-10,1,False,where is herzberg building,12,0.0,False,Campus,,,
2023-10-10,1,False,where is walmart,12,57.0,False,Community Engagement,,,
2023-10-10,1,False,where can i find jobs,12,27.0,True,Career,171.0,0.0,General
2023-10-10,1,False,where can i find opportunities on campus,12,,True,Multiple Topics,,-1.0,
2023-10-10,2,True,will i fail my classes,13,,True,Academic Resources,44.0,0.0,Specific 
2023-10-10,4,True,where is the best place to study on campus,14,3.0,False,Campus,,,
2023-10-10,4,True,what is best elective to take as an incoming second year,14,94.0,True,Academic Calendar,52.0,0.0,Specific 
2023-10-10,4,True,when will the new residence building be finished,14,,True,Campus,229.0,0.0,Specific 
2023-10-10,4,True,offer different potential paper titles using the following title,15,,False,out of scope,,,
2023-10-10,4,True,what year was the united nations created etc,15,,False,out of scope,,,
2023-10-10,2,False,what are the psychology academic advisor hours fall 2023,16,35.0,True,Academic Resources,44.0,1.0,
2023-10-10,4,False,can you please generate some practice test questions for my psych class,17,,False,out of scope,,,
2023-10-10,2,False,what is the best coffee shop at carleton,18,3.0,False,Campus,,,
2023-10-10,1,False,where can i get my campus card,19,0.0,True,Campus,13.0,0.0,Specific 
2023-10-10,5,True,what type of food locations do you have on campus,20,,True,Campus,79.0,1.0,
2023-10-10,5,True,does the food locations accept dining dollars,20,,True,Housing,,-1.0,
2023-10-10,5,True,when are the reading weeks,20,132.0,False,Academic Calendar,,,
2023-10-10,5,True,what type of resources are avalible on campus,20,,True,Multiple Topics,,-1.0,
2023-10-10,5,True,who should i reach out to about questions about my timetable,20,,True,Academic Calendar,,-1.0,
2023-10-10,1,True,what type of individuals are eligible for the pmc accommodations,21,,True,Accessibility,347.0,1.0,
2023-10-10,1,True,i can't imagine myself asking a chatbot anything,22,,False,out of scope,,,
2023-10-10,4,True,what should i do after university,23,,True,Career,88.0,0.0,General
2023-10-10,4,True,options for my degree,23,,True,Multiple Topics,53.0,0.0,Vague
2023-10-10,4,True,how do i get a coop position,24,,False,Career,,,
2023-10-10,4,True,how to meet other carelton students,24,,True,Multiple Topics,,-1.0,
2023-10-10,2,True,where can i find payment due dates,25,96.0,False,Financial Information,,,
2023-10-10,2,True,where can i find my course schedule,26,,True,Academic Calendar,,-1.0,
2023-10-10,2,True,how to drop minor element,27,110.0,True,Academic Calendar,169.0,1.0,
2023-10-10,3,True,what's the probability i find a job after i graduate from mechanical engineering,28,,True,Career,,-1.0,
2023-10-10,4,True,how to read my audit,29,54.0,True,Academic Resources,,-1.0,
2023-10-10,4,True,how to navigate the tunnels,29,,True,Campus,,-1.0,
2023-10-10,1,True,where is the nearest water fountain,30,0.0,True,Campus,13.0,0.0,Specific 
2023-10-10,1,True,where can i find cheep food near carleton,31,57.0,True,Community Engagement,173.0,0.0,Specific 
2023-10-10,5,True,where do coroners' inquest jurors meet,32,,False,out of scope,,,
2023-10-10,5,False,where can i find the best coffee on campus,33,3.0,False,Campus,,,
2023-10-10,4,True,where is southam hall,34,0.0,False,Campus,,,
2023-10-10,4,True,where are the microwaves,35,0.0,False,Campus,,,
2023-10-10,2,True,where do i access past course outlines for my program,36,,True,Academic Resources,,-1.0,
2023-10-10,2,True,how to i get involved with the school community,36,63.0,True,Community Engagement,115.0,0.0,General
2023-10-10,2,True,what's the course outline for  class,37,,True,Academic Resources,,-1.0,
2023-10-10,2,True,what are some resources for market research,37,,True,Academic Resources,230.0,0.0,General
2023-10-10,2,True,when does examination period start,37,5.0,False,Academic Calendar,,,
2023-10-10,2,True,where is the student support centre,38,0.0,False,Campus,,,
2023-10-10,4,True,how do i find my degree requirements,39,,True,Academic Calendar,148.0,1.0,
2023-10-10,2,True,where is the library,40,0.0,False,Campus,,,
2023-10-10,1,False,where is library,41,0.0,False,Campus,,,
2023-10-10,1,False,i emailed carleton computer science because one my courses got filled,42,168.0,True,Academic Calendar,,-1.0,
2023-10-10,1,False,is it possible to customize a degree,43,,True,Academic Calendar,,-1.0,
2023-10-10,1,False,where can i find the book store,44,0.0,False,Campus,,,
2023-10-10,2,True,where can i find private study rooms in carleton,45,0.0,True,Campus,13.0,0.0,Specific 
2023-10-10,3,False,where can i find free parking on campus,46,4.0,True,Transportation and Parking,28.0,0.0,Specific
2023-10-10,0,False,when does the bookstore close,47,1.0,False,Campus,,,
2023-10-10,3,False,what is a virtual machine,48,,False,out of scope,,,
2023-10-10,3,False,where can i find a water fountain in the nideniyan building after the cafeteria closes,49,0.0,True,Campus,13.0,0.0,Specific
2023-10-10,2,True,how to find my carleton transcript,50,,True,Graduation,24.0,1.0,
2023-10-10,3,True,where is my class located,51,0.0,False,Campus,,,
2023-10-10,1,True,how to join club,52,81.0,True,Student Organizations,96.0,1.0,
2023-10-10,1,True,where can i find a map of a building,53,,True,Campus,78.0,1.0,
2023-10-10,1,True,where can i find my course calendar,53,,True,Multiple Topics,,-1.0,
2023-10-10,2,True,fall term exam schedule,54,5.0,False,Academic Calendar,,,
2023-10-10,1,True,how do i figure out how to pay my tuition,55,,True,Financial Information,18.0,0.0,General
2023-10-10,1,True,how can i switch programs,56,86.0,True,Academic Calendar,,-1.0,
2023-10-10,5,False,can students use chatgpt for completing assignments,57,,True,Academic Calendar,343.0,0.0,Specific 
2023-10-10,1,True,where is the the ravens nest,58,0.0,False,Campus,,,
2023-10-10,0,False,where can i find some hoes,59,,False,out of scope,,,
2023-10-10,1,True,where can i see exam schedule,60,5.0,False,Academic Calendar,,,
2023-10-10,1,False,how do i get better grades,61,112.0,False,Academic Resources,,,
2023-10-10,1,False,how many bathrooms are there in total,62,,True,Campus,119.0,0.0,Specific 
2023-10-10,1,False,how do i join a sports team,63,,True,Athletics,48.0,1.0,
2023-10-10,1,True,what kind of classes should i take for my degree,64,94.0,True,Academic Calendar,52.0,0.0,Specific 
2023-10-11,3,False,when does fall term start,65,,True,Academic Calendar,7.0,0.0,Specific 
2023-10-11,3,False,when is the last day for tuition payment,65,96.0,True,Financial Information,19.0,1.0,
2023-10-11,3,False,where can i sign up for intramurals,65,,True,Athletics,303.0,0.0,Specific 
2023-10-11,3,False,what can i access from the library,65,,True,Academic Resources,,-1.0,
2023-10-11,3,False,how can i access the library,65,,True,Academic Resources,71.0,0.0,General
2023-10-11,3,True,summarise this document,66,,False,out of scope,,,
2023-10-11,3,True,what is the main topic in this text,66,,False,out of scope,,,
2023-10-11,3,True,how to get to the uc building from the library,66,0.0,True,Campus,13.0,0.0,Specific 
2023-10-11,3,True,which rooms are reserved for irm students,66,,True,Campus,,-1.0,
2023-10-11,3,True,what days are the campus closed,66,,True,Campus,,-1.0,
2023-10-11,3,True,what is the holiday schedule for students,66,,True,Academic Calendar,7.0,0.0,Specific 
2023-10-11,5,True,what courses can i register for course plans,67,94.0,True,Academic Calendar,52.0,0.0,Vague
2023-10-11,5,True,can you tell me about equivalent courses at carleton and letters of permission,67,,True,Study Abroad and Exchanges,,-1.0,
2023-10-11,5,True,i am getting a registration warning when i try to register for a course in my program  what should i do,67,168.0,True,Academic Calendar,,-1.0,
2023-10-11,5,True,how do i register for my elective,67,,True,Academic Calendar,55.0,0.0,Specific 
2023-10-11,5,True,how do i add a minor and what minors can i take,67,110.0,True,Academic Calendar,169.0,0.0,Specific 
2023-10-11,5,True,what is the process to take a leave of absence,67,111.0,True,Academic Calendar,167.0,1.0,
2023-10-11,5,True,what can i do to improve my cgpa,67,112.0,True,Academic Resources,44.0,0.0,Specific 
2023-10-11,5,True,i have a timetable conflict between courses  what should i do,67,,True,Academic Calendar,,-1.0,
2023-10-11,4,True,where can i find deadlines on fall registration,68,6.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-11,4,True,where can i find deadlines for graduation,68,,True,Graduation,323.0,0.0,Specific
2023-10-11,4,True,where can see my tuition fees,68,,True,Financial Information,42.0,0.0,General
2023-10-12,5,True,can i apply to more than one program,69,,True,Admissions,256.0,0.0,Specific 
2023-10-12,5,True,who do i send my required documents and supplementary forms to,69,118.0,True,Admissions,,-1.0,
2023-10-12,5,True,when can i upload my required documents,69,118.0,True,Admissions,,-1.0,
2023-10-12,5,True,can you review my documents before i apply,69,,True,Admissions,,-1.0,
2023-10-12,5,True,how do i check the status of my application,69,,True,Admissions,147.0,0.0,Specific 
2023-10-12,5,True,do i need to renew my study permit,70,,True,Study Abroad and Exchanges,,-1.0,
2023-10-12,5,True,how can i take a break from my studies,70,111.0,True,Academic Calendar,167.0,1.0,
2023-10-12,5,True,what are tuition fees at carleton university,70,,True,Financial Information,42.0,0.0,General
2023-10-12,5,True,how can i study abroad,70,,True,Study Abroad and Exchanges,266.0,1.0,
2023-10-12,4,True,can you apply to graduate while still needing courses,71,126.0,True,Graduation,322.0,0.0,Specific
2023-10-12,3,True,when are we supposed to apply for coop jobs,72,,True,Career,87.0,0.0,Specific 
2023-10-12,3,True,how does the coop process work,72,,False,Career,,,
2023-10-12,2,True,how do you apply for a minor,73,110.0,True,Academic Calendar,169.0,1.0,
2023-10-12,3,False,is there health and counselling services for adhd,74,,True,Student Health and Wellness,89.0,0.0,Specific 
2023-10-12,3,True,when is reading week,75,132.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-12,3,True,when is reading week,75,132.0,False,Academic Calendar,,,
2023-10-12,2,True,where to put electric scooter,76,,True,Transportation and Parking,295.0,1.0,
2023-10-12,4,True,which graduation form to apply to,77,,True,Graduation,323.0,0.0,Specific
2023-10-12,4,True,what happens if i applied for graduation and failed an elective which would be my last 05 credit before graduating can i still graduate,77,126.0,True,Graduation,322.0,0.0,Specific
2023-10-12,3,False,how can you transfer to another program,78,86.0,False,Academic Calendar,,,
2023-10-12,2,True,where are the chonkers,79,,False,out of scope,,,
2023-10-12,4,False,how do i get my confirmation of graduation letter,80,,True,Graduation,330.0,0.0,General
2023-10-12,0,True,i'm applying and i was wondering if there's anything i should know before applying,81,,True,Admissions,39.0,0.0,Vague
2023-10-12,0,False,is it still possible to apply to carleton now especially for mecheng,82,,True,Admissions,40.0,0.0,Specific 
2023-10-12,0,False,i would like to apply for computer science program next year in carleton average 83 is enough for applying computer science in carleton,83,,True,Admissions,41.0,0.0,Specific 
2023-10-12,0,True,what's the approximate time to receive word back about my application,84,,True,Admissions,147.0,0.0,Specific 
2023-10-12,0,False,any insights you can give to help strengthen my application when i apply for cs as an international highschool student for next term,85,,True,Admissions,39.0,0.0,Specific 
2023-10-12,2,False,when how do i apply for campus jobs,86,27.0,True,Career,,-1.0,
2023-10-12,0,True,is it worth applying to carleton cs,87,,True,Admissions,,-1.0,
2023-10-12,0,True,how does the coop work here,87,,True,Career,87.0,1.0,
2023-10-12,0,True,what is the timeline for applying for the bgins masters program,88,,True,Admissions,40.0,0.0,Specific 
2023-10-12,0,True,i don't have any questions i would ask,89,,False,out of scope,,,
2023-10-12,0,False,my application status changed to recommend for assessment what's that mean,90,,True,Admissions,147.0,0.0,Specific 
2023-10-12,0,True,why is my application still not responded to,91,,True,Admissions,147.0,0.0,Specific 
2023-10-12,0,False,if there is an option to get my application fee waived,92,,True,Admissions,,-1.0,
2023-10-12,0,False,when will i hear a response for winter residence,92,,True,Housing,,-1.0,
2023-10-12,0,True,how do i apply for osap,93,,True,Financial Information,64.0,0.0,Specific
2023-10-12,0,True,can i go to campus and get the financial aid department to help me,93,,True,Multiple Topics,,-1.0,
2023-10-12,0,True,no questions sorry,94,,False,out of scope,,,
2023-10-12,0,False,how do i get involved at carleton,95,63.0,False,Community Engagement,,,
2023-10-12,0,False,can i get a bus discount,95,,True,Transportation and Parking,94.0,1.0,
2023-10-12,0,False,where can i get housing,95,,True,Housing,297.0,0.0,Vague
2023-10-12,4,False,how do i apply to be a ta,96,21.0,False,Career,,,
2023-10-12,4,False,what research opportunities are there,96,,True,Research,83.0,0.0,General
2023-10-12,3,True,where do you go to apply to become a ta,97,21.0,False,Career,,,
2023-10-13,0,True,what are some things i should know for my first year of univeristy,98,,True,Multiple Topics,,-1.0,
2023-10-13,5,True,what is the campus wifi,99,,True,Information Technology,70.0,1.0,
2023-10-13,5,True,how do i log into online learning,99,,True,Information Technology,33.0,1.0,
2023-10-13,5,True,how do i get it help,99,,True,Information Technology,178.0,1.0,
2023-10-13,5,True,how do i read my audit,100,54.0,False,Academic Resources,,,
2023-10-13,5,True,can i schedule an appointment for academic advising,100,35.0,False,Academic Resources,,,
2023-10-13,5,True,why can't i register for this course,100,168.0,True,Academic Calendar,,-1.0,
2023-10-13,0,False,is there a day to join clubs,101,81.0,True,Student Organizations,96.0,0.0,Specific
2023-10-13,0,False,can i start my own club,101,,True,Student Organizations,95.0,1.0,
2023-10-13,5,True,what clubs can i join,102,81.0,True,Student Organizations,76.0,1.0,
2023-10-13,5,True,how can i get accommodations for my classes,102,,True,Accessibility,105.0,1.0,
2023-10-13,5,True,how do i opt out of student fees,103,,True,Financial Information,,-1.0,
2023-10-13,5,True,what scholarships can i apply for,103,,True,Financial Information,65.0,0.0,General
2023-10-13,5,True,what financial aid can i apply for,103,,True,Financial Information,64.0,0.0,Specific
